,WTS,YR,DOY,RAD,MINT,MAXT,VPR,WIND,RAIN,AHA,OKTA
54,1,1998,54,4435,2.1,6.6,0.683,5.6,0,0.62590173,6.775057976
55,1,1998,55,12763,-0.6,11.6,0.758,4.6,0,0.618608203,0
56,1,1998,56,5481,3.5,12.1,0.923,2.6,0,0.611482882,6.046160658
57,1,1998,57,5280,4.7,11,0.948,0.8,0,0.604522961,6.239013798
58,1,1998,58,4935,6,11.7,0.943,1.8,0,0.59772557,6.530326842
59,1,1998,59,5464,6.9,11.2,0.853,3.9,1.4,0.613844997,6.268345158
60,1,1998,60,8512,4.7,10.2,0.738,2.7,0,0.606735159,4.109828693
61,1,1998,61,6312,4.1,11.7,0.723,1.6,0,0.599801648,6.515299754
62,1,1998,62,6245,1.3,15.4,0.733,3.6,0,0.593040663,6.595485948
63,1,1998,63,5507,10.1,16.3,0.903,5.8,2,0.586448418,6.968414769
64,1,1998,64,12719,6.9,12.3,0.703,4.5,0,0.580021147,2.668048227
65,1,1998,65,12262,1.9,16.2,0.658,2.7,0,0.573755117,3.163268988
66,1,1998,66,5620,2.5,14.2,0.863,3.8,1.6,0.567646628,7.030556335
67,1,1998,67,5541,8.1,8.9,0.893,4.1,12.6,0.561692025,7.095125677
68,1,1998,68,7748,5,6,0.608,4.5,0,0.576272815,6.167487555
69,1,1998,69,15255,-4.5,8.9,0.393,2.2,6,0.570074303,1.73240136
70,1,1998,70,5749,0.7,5.6,0.723,3.1,7,0.564038867,7.129547868
71,1,1998,71,5818,2.3,4.1,0.673,5,0.8,0.558162305,7.140501434
72,1,1998,72,11269,-1.6,7.8,0.578,2.9,0,0.5524405,4.571153358
73,1,1998,73,5958,0.2,7.8,0.713,2.7,0,0.546869425,7.140884869
74,1,1998,74,6028,6,9.3,0.803,4.2,0,0.541445145,7.131405437
75,1,1998,75,6151,5.6,11.2,0.903,3.1,0,0.536163816,7.100914195
76,1,1998,76,9118,6.4,12,0.838,3.7,0,0.531021683,5.879666075
77,1,1998,77,15623,3.5,14.2,0.793,2.9,0,0.544330752,2.306724336
78,1,1998,78,15649,1.9,12.5,0.638,3.9,0,0.538996489,2.512889068
79,1,1998,79,18680,-0.9,10.7,0.548,3.9,0,0.533807621,0.701260975
80,1,1998,80,10018,2.6,11.8,0.663,4.1,0,0.528760099,5.729797375
81,1,1998,81,19247,-2.1,10.8,0.423,2.9,0,0.523849989,0.745298742
82,1,1998,82,8450,-2.4,7,0.598,3,0,0.51907347,6.500410956
83,1,1998,83,10183,-1.5,6.3,0.533,4.1,0,0.514426832,5.852594426
84,1,1998,84,17918,-4.4,10.1,0.423,2.5,0,0.509906477,2.007373394
85,1,1998,85,18387,-4.5,13.8,0.458,1.2,0,0.505508909,1.818799918
86,1,1998,86,11909,5.9,15.5,0.778,1.3,0,0.517790752,5.180961115
87,1,1998,87,13306,2.4,19.6,0.828,2.5,0,0.513240555,4.573575298
88,1,1998,88,19642,4.2,22.5,0.788,3.1,0,0.508817472,1.186250908
89,1,1998,89,19551,5,19.7,0.768,1.9,0,0.504517862,1.386015755
90,1,1998,90,16310,5.3,21.9,0.893,3,0.8,0.500338201,3.266961049
91,1,1998,91,7962,10.2,13.9,1.123,1.6,2,0.496275078,6.890706239
92,1,1998,92,8497,6.7,13.8,1.123,3,4,0.492325194,6.736107212
93,1,1998,93,11478,11,20.5,1.113,5.9,12,0.488485354,5.653923564
94,1,1998,94,10689,5.3,13.5,0.863,4.4,0,0.48475247,6.059142182
95,1,1998,95,10665,5,13.8,0.833,3.5,1,0.496223403,6.113504911
96,1,1998,96,11271,3.5,14,0.853,3.4,7.2,0.492368759,5.923700504
97,1,1998,97,10582,7.8,13.7,0.908,3.8,3,0.488624255,6.2026256
98,1,1998,98,11495,5.5,13.5,0.823,2.6,3,0.484986738,5.928152737
99,1,1998,99,12297,3.1,14,0.803,3.7,2.4,0.48145316,5.675381619
100,1,1998,100,12559,3.4,10,0.778,2.2,1,0.478020575,5.625611076
101,1,1998,101,7515,3,8.7,0.693,2.8,1,0.474686139,7.308617172
102,1,1998,102,9340,2.4,8.1,0.723,3.1,5.4,0.471447102,6.795731706
103,1,1998,103,9713,0.1,5.9,0.638,2.2,1,0.468300807,6.721760266
104,1,1998,104,20222,-2.9,10.7,0.528,3.6,0.4,0.465244685,2.709544787
105,1,1998,105,8262,5.9,11.1,0.798,5.8,4,0.475908629,7.163162827
106,1,1998,106,16749,1.3,11.7,0.658,4.6,2,0.472760827,4.311905485
107,1,1998,107,11905,6.5,11.9,0.748,6.5,9,0.4697056,6.117003109
108,1,1998,108,9688,2.9,8.9,0.738,5.3,3.4,0.466740365,6.829557295
109,1,1998,109,14414,3.6,11.9,0.803,1.6,2,0.463862624,5.305533838
110,1,1998,110,13934,3.2,14.5,0.968,2.4,1,0.461069968,5.472348433
111,1,1998,111,20450,6.2,19.9,1.078,1.6,0,0.458360066,2.832679165
112,1,1998,112,23374,5.8,22.3,0.993,2.3,0,0.455730671,1.554370411
113,1,1998,113,19766,8.3,19.5,1.133,2.8,0,0.453179608,3.245883707
114,1,1998,114,11526,8.8,16.2,1.043,2.6,0,0.463429149,6.371676005
115,1,1998,115,15072,8.2,19.2,1.243,2.1,6,0.460806845,5.183341196
116,1,1998,116,9115,11.5,16.1,1.323,2.8,52,0.458264942,7.064860062
117,1,1998,117,10507,5.5,11,0.938,3.4,6,0.455801274,6.749712215
118,1,1998,118,17269,5.5,14.7,0.863,1.7,0.4,0.453413747,4.604289098
119,1,1998,119,14658,1.3,15.7,0.928,1.8,4.2,0.45110034,5.53548901
120,1,1998,120,11071,8.7,16,1.178,1.8,10,0.4488591,6.614564721
121,1,1998,121,13183,7.4,16.1,1.153,2,0,0.446688144,6.014283485
122,1,1998,122,12472,8.8,15,1.173,2.1,1,0.444585649,6.249076216
123,1,1998,123,10854,7.2,14.1,1.128,4.2,0,0.442549859,6.734313359
124,1,1998,124,11880,8.9,12.5,0.943,6,0,0.440579076,6.496661773
125,1,1998,125,17384,3,15.1,0.918,3.2,0,0.450340943,4.798882615
126,1,1998,126,13745,9.3,15.6,0.983,3,0,0.448324705,5.989509948
127,1,1998,127,26564,4.9,20.9,0.998,1.6,0,0.446375327,1.122297363
128,1,1998,128,23316,7.6,24.4,0.983,4.3,0,0.444491132,2.619643994
129,1,1998,129,24564,9.3,25.9,1.068,2.1,0,0.442670499,2.097595034
130,1,1998,130,26927,7.6,27.6,1.163,1.8,0,0.440911866,1.043964497
131,1,1998,131,26345,10.4,28.5,1.238,1.9,0,0.439213724,1.328963142
132,1,1998,132,25365,10.8,27.6,1.278,1.8,0,0.437574618,1.800990513
133,1,1998,133,19642,11.4,26.6,1.413,1.6,0,0.435993145,4.102718949
134,1,1998,134,22466,11.8,28.2,1.558,2.4,0,0.434467955,3.001220608
135,1,1998,135,26154,13.6,24.5,1.273,3.4,0,0.432997745,1.599347096
136,1,1998,136,28330,9.1,20.5,1.003,4,0,0.442558373,0.821201517
137,1,1998,137,23411,6.6,20.7,0.938,3.9,0,0.441066499,2.975116231
138,1,1998,138,28587,6.3,20.8,0.953,3.7,0,0.439631499,0.834834436
139,1,1998,139,28314,6.3,22.7,1.013,2.5,0,0.438252101,0.966583969
140,1,1998,140,27973,7,23.2,1.113,2.3,0,0.436927082,1.104349649
141,1,1998,141,24837,9.8,22.6,1.198,3.1,0,0.435655264,2.430275681
142,1,1998,142,20498,11.5,18.6,0.998,3.8,0,0.434435517,4.168405153
143,1,1998,143,27532,3.8,18.2,0.823,2.9,0,0.433266755,1.582307953
144,1,1998,144,21450,4.9,18.9,0.943,3.1,0,0.432147936,3.900790743
145,1,1998,145,17821,6,20.4,1.093,2,0,0.431078065,5.083238649
146,1,1998,146,12651,9.6,19,1.213,2.3,1,0.430056185,6.545803182
147,1,1998,147,11546,11.3,19.3,1.278,2.1,4,0.429081385,6.821575524
148,1,1998,148,10171,11.4,14.9,1.368,1.8,6,0.428152795,7.142850564
149,1,1998,149,18091,10.5,19,1.243,1.5,0,0.427269586,5.020419764
150,1,1998,150,19996,7.8,22.1,1.298,3.6,9,0.426430969,4.400072314
151,1,1998,151,12525,12.1,15.8,1.298,2,15,0.425636195,6.605147082
152,1,1998,152,17106,5.6,23.1,1.218,3.3,0,0.424884555,5.364415097
153,1,1998,153,13580,14.8,22.7,1.423,3.1,7,0.434340454,6.330560393
154,1,1998,154,23195,11.5,22.9,1.493,1,0.2,0.433609877,3.269536198
155,1,1998,155,23691,12.8,26.5,1.723,1.4,0,0.432924714,3.024472115
156,1,1998,156,19888,15.1,30.5,1.888,1.6,0,0.432284312,4.368820375
157,1,1998,157,15947,15.4,25.5,1.878,1.8,5,0.43168806,5.63145226
158,1,1998,158,15562,14.9,20.3,1.463,3.5,1,0.431135388,5.815534153
159,1,1998,159,18537,9.7,20.5,1.203,2.1,0,0.430625765,4.99348355
160,1,1998,160,19091,10.7,25,1.478,1.8,16,0.430158703,4.76009245
161,1,1998,161,13592,16.3,20.6,1.518,2.9,3.2,0.429733751,6.356066514
162,1,1998,162,18447,11.8,17.3,1.063,4.3,5,0.4293505,5.074457592
163,1,1998,163,14693,8,15.3,1.008,3.8,0.4,0.42900858,6.153788805
164,1,1998,164,20489,5.3,18.2,1.068,1.9,0.2,0.428707659,4.440301695
165,1,1998,165,13703,11.3,18.4,1.293,2.9,11.8,0.428447449,6.369446969
166,1,1998,166,16268,10.7,18.7,1.243,2.4,3.6,0.428227696,5.687621277
167,1,1998,167,22329,9.2,18.8,1.053,3,0.2,0.428048187,3.841007812
168,1,1998,168,24622,6.2,19.9,1.063,1.5,0,0.427908749,3.02412154
169,1,1998,169,27722,7.5,23.2,1.163,1.4,0,0.427809248,1.784947148
170,1,1998,170,29407,10,26.2,1.328,1.6,0,0.427749585,1.003838567
171,1,1998,171,30080,11.4,31,1.473,2.3,0,0.427729704,0.638845603
172,1,1998,172,25571,13.8,31.3,1.483,2.6,0,0.427749585,2.498790988
173,1,1998,173,14334,17.1,24.4,1.678,2.6,0,0.427809248,6.153004125
174,1,1998,174,22334,13.6,24.8,1.333,2.6,0.4,0.427908749,3.742458009
175,1,1998,175,29862,11.7,26.6,1.463,1.9,0,0.428048187,0.721444024
176,1,1998,176,16608,14.3,22.7,1.583,2.5,0.8,0.428227696,5.521177162
177,1,1998,177,12499,15.2,21.5,1.663,1.3,0,0.428447449,6.622905413
178,1,1998,178,19012,14.9,26.7,1.788,2.6,0,0.428707659,4.729480595
179,1,1998,179,19137,15,22.7,1.388,2.6,0,0.42900858,4.772820504
180,1,1998,180,29604,8.7,25.4,1.238,1.4,0,0.4293505,0.895178365
181,1,1998,181,14813,11.5,24.5,1.433,2,0,0.429733751,6.033843765
182,1,1998,182,18338,12.9,25.1,1.588,2.5,17,0.430158703,4.960587227
183,1,1998,183,14918,15.3,24,1.818,2.1,10,0.430625765,5.936593643
184,1,1998,184,16244,15.3,23,1.653,2.9,0,0.431135388,5.572785188
185,1,1998,185,23736,11.4,22.3,1.353,2.4,0,0.43168806,3.129972337
186,1,1998,186,28406,12.5,24.4,1.408,2.5,0,0.432284312,1.215000865
187,1,1998,187,29652,11.4,26.3,1.458,1.9,0,0.432924714,0.622191686
188,1,1998,188,15966,14.3,23.3,1.423,3.6,0,0.433609877,5.660633161
189,1,1998,189,19823,11.2,21.5,1.183,2.2,0,0.434340454,4.504071556
190,1,1998,190,23743,10.5,23.4,1.313,2.5,0,0.424884555,3.05403969
191,1,1998,191,14155,14.8,22.9,1.468,2.6,0,0.425636195,6.137624097
192,1,1998,192,20140,15.5,24.7,1.493,3.2,0.2,0.426430969,4.266284555
193,1,1998,193,29186,13.8,29,1.483,2,0,0.427269586,0.642336677
194,1,1998,194,14408,13.4,24,1.603,2,1,0.428152795,6.017054031
195,1,1998,195,27573,10.2,21.5,1.093,3,0,0.429081385,1.482450823
196,1,1998,196,21472,9.6,22.1,1.118,2.3,0,0.430056185,3.831563061
197,1,1998,197,11786,11.8,24.8,1.358,2.1,0,0.431078065,6.720015756
198,1,1998,198,18203,14.2,26.6,1.523,2.3,0,0.432147936,4.804625978
199,1,1998,199,23014,15.2,29.2,1.598,2.1,0,0.433266755,3.010928169
200,1,1998,200,26615,14.6,33.8,1.733,2.8,5,0.434435517,1.415624508
201,1,1998,201,27429,18.2,34.6,1.368,4.8,0,0.435655264,1.174004108
202,1,1998,202,16785,16.2,25.1,1.628,2.6,0.2,0.436927082,5.169569614
203,1,1998,203,24808,14.3,28.1,1.533,1.5,0,0.438252101,2.160384447
204,1,1998,204,25020,14.2,30.7,1.598,2.1,0,0.439631499,2.002948341
205,1,1998,205,23935,14.2,29.3,1.498,2.1,0,0.441066499,2.46184887
206,1,1998,206,26555,14.7,27.9,1.368,2.2,0,0.442558373,1.333324
207,1,1998,207,23886,12.7,30.2,1.348,1.9,0,0.432997745,2.458297444
208,1,1998,208,13551,14.7,23.4,1.668,2.6,10,0.434467955,6.054541546
209,1,1998,209,11014,15.8,21.6,1.518,2.8,0,0.435993145,6.767359835
210,1,1998,210,19093,15.9,26.1,1.518,2.7,0,0.437574618,4.186116841
211,1,1998,211,15113,15.7,26.2,1.643,3.1,0,0.439213724,5.513288191
212,1,1998,212,21916,15,24.1,1.323,2.4,1,0.440911866,3.068158412
213,1,1998,213,10116,15,16.8,1.448,1.3,15,0.442670499,6.955476115
214,1,1998,214,10981,11.9,17.6,1.458,1.1,0,0.444491132,6.71142645
215,1,1998,215,19315,10.6,23.2,1.428,3,0,0.446375327,3.944829009
216,1,1998,216,22038,11.9,25.8,1.548,3.3,0,0.448324705,2.743419054
217,1,1998,217,26948,14.9,25.2,1.433,3.9,0,0.450340943,0.434570213
218,1,1998,218,26994,11.3,28,1.303,2.4,0,0.440579076,0.406198703
219,1,1998,219,26843,12.3,30.2,1.388,1.9,0,0.442549859,0.357944787
220,1,1998,220,26562,12.2,32.5,1.683,1.4,0,0.444585649,0.2702812
221,1,1998,221,26152,15.7,34.6,1.773,1,0,0.446688144,0.359753482
222,1,1998,222,23347,15.7,35.8,1.718,1.5,0,0.4488591,1.718835585
223,1,1998,223,24245,16.2,36.6,1.798,1.4,0,0.45110034,1.166712494
224,1,1998,224,20492,18.5,35.5,1.888,2.5,0.4,0.453413747,2.867901133
225,1,1998,225,17897,16.7,26.3,1.598,2.3,0,0.455801274,4.021507716
226,1,1998,226,24414,11.2,26.6,1.103,2.3,0,0.458264942,1.174947355
227,1,1998,227,24507,10.3,32,1.278,1.5,0,0.460806845,0.946387682
228,1,1998,228,22263,14.3,31.8,1.503,1.5,0,0.463429149,1.891179469
229,1,1998,229,21416,14,32.2,1.678,2.4,3,0.453179608,2.16287761
230,1,1998,230,19001,16.3,27.3,1.913,2.1,4.2,0.455730671,3.169485016
231,1,1998,231,22351,15.2,27.7,1.568,1.9,0,0.458360066,1.575386521
232,1,1998,232,22376,13,28.8,1.373,2.3,0,0.461069968,1.563699042
233,1,1998,233,9414,15.7,23.6,1.478,3.8,2.6,0.463862624,6.802153433
234,1,1998,234,8423,15.1,19.3,1.848,2.8,2.8,0.466740365,7.040454201
235,1,1998,235,18298,14,24.1,1.538,2.4,0,0.4697056,3.278286327
236,1,1998,236,11315,13.3,19.2,1.508,2.5,5.2,0.472760827,6.099479344
237,1,1998,237,18229,9,22.8,1.273,1.8,0,0.475908629,3.260862452
238,1,1998,238,23506,7.9,27.1,1.243,1.8,0,0.465244685,0.404770073
239,1,1998,239,14200,10.7,19.7,1.113,3.8,0,0.468300807,4.967838524
240,1,1998,240,19328,7.1,19.2,0.883,4.6,0,0.471447102,2.659273317
241,1,1998,241,22179,5.7,19.3,0.838,2.7,0,0.474686139,1.077169798
242,1,1998,242,22782,4.4,21.8,0.908,1.6,0,0.478020575,0.570083179
243,1,1998,243,20621,5.7,28.4,1.113,1.1,0,0.48145316,1.569592987
244,1,1998,244,10185,14.2,26.3,1.658,1.4,0,0.484986738,6.212648058
245,1,1998,245,10110,15,27.5,1.713,1.9,3,0.488624255,6.197017297
246,1,1998,246,14590,17.1,23.2,1.558,3.5,0.2,0.492368759,4.27142761
247,1,1998,247,7838,9.6,17.4,1.543,1.6,10,0.496223403,6.958224741
248,1,1998,248,13632,13.6,21.4,1.443,2.9,1,0.48475247,4.621896191
249,1,1998,249,19138,11.2,22.7,1.318,1.3,0,0.488485354,1.654167231
250,1,1998,250,12976,12.5,22,1.518,1.4,2,0.492325194,4.785145915
251,1,1998,251,11094,12.8,22.4,1.398,2.4,0,0.496275078,5.599767449
252,1,1998,252,15895,12.9,29.3,1.553,2.4,0,0.500338201,3.121194679
253,1,1998,253,7316,15.9,18,1.638,1.7,22,0.504517862,6.967790233
254,1,1998,254,9411,13.7,19.1,1.453,2.4,16,0.508817472,6.157062926
255,1,1998,255,9614,10.5,16.4,1.063,4.6,3,0.513240555,6.097720611
256,1,1998,256,8124,5.9,12.3,0.948,4.1,10,0.517790752,6.664679488
257,1,1998,257,11745,8.5,16.3,0.993,3.9,1.4,0.505508909,5.059721282
258,1,1998,258,10483,9.7,16.9,1.123,4.1,4,0.509906477,5.559990182
259,1,1998,259,10061,10.8,18.2,1.303,3.8,1.4,0.514426832,5.661789679
260,1,1998,260,13334,10,18,1.118,2.7,0,0.51907347,3.972382019
261,1,1998,261,17444,5.7,19.1,1.053,2,0,0.523849989,1.331478969
262,1,1998,262,19432,4.8,19.6,1.038,1.8,0,0.528760099,0
263,1,1998,263,18040,5.2,18.8,1.058,1.6,0,0.533807621,0.59842254
264,1,1998,264,17526,5.3,20,1.128,1.3,0,0.538996489,0.770152378
265,1,1998,265,15676,6.7,21.6,1.253,1.4,0,0.544330752,1.885589988
266,1,1998,266,17089,8.2,22.2,1.293,1.4,0,0.531021683,0.673723492
267,1,1998,267,6555,11,18.9,1.368,1.6,0,0.536163816,6.84749338
268,1,1998,268,13404,8.2,22.9,1.353,3.5,0.2,0.541445145,3.026655431
269,1,1998,269,5412,15.6,18.6,1.418,4.7,21,0.546869425,7.248745239
270,1,1998,270,9720,10.8,20,1.253,4.5,3.4,0.5524405,5.155150892
271,1,1998,271,6423,11.7,16.9,1.473,2.2,4.8,0.558162305,6.743552157
272,1,1998,272,6708,12.7,17.7,1.458,1.4,5,0.564038867,6.57082668
273,1,1998,273,7900,13.8,18.1,1.378,2.2,1,0.570074303,5.930569738
274,1,1998,274,9429,7.3,17.3,1.178,1.5,1.8,0.576272815,5.039425805
275,1,1998,275,6035,10.8,15.9,1.328,2,3,0.561692025,6.782649458
276,1,1998,276,6313,10.3,12.6,1.198,2.8,2.6,0.567646628,6.623770978
277,1,1998,277,5549,8.8,12.1,1.238,1.9,3.2,0.573755117,6.947198368
278,1,1998,278,6948,8.5,13.4,1.153,1.3,0.4,0.580021147,6.205272854
279,1,1998,279,5414,7.2,10,1.128,2.2,9.4,0.586448418,6.950829762
280,1,1998,280,5442,8.5,11.4,1.063,3.3,0.8,0.593040663,6.906930474
281,1,1998,281,5375,6.9,11.7,1.093,1.8,2.4,0.599801648,6.896567374
282,1,1998,282,10375,5.4,14.3,1.093,1,0,0.606735159,3.648003513
283,1,1998,283,5146,6.4,14.7,1.153,2.4,4,0.613844997,6.9257059
284,1,1998,284,5919,10.2,15.7,1.238,2.7,7,0.59772557,6.448660055
285,1,1998,285,6401,9.8,13.7,1.138,2.7,0,0.604522961,6.126598769
286,1,1998,286,9126,4.6,14.6,0.983,1.6,0.8,0.611482882,4.20546662
287,1,1998,287,5066,7.9,16.2,1.308,1.6,0.2,0.618608203,6.784063212
288,1,1998,288,4865,11.9,16.8,1.423,0.9,0,0.62590173,6.840715922
289,1,1998,289,9230,11.7,19.6,1.358,1.9,0,0.633366193,3.639605407
290,1,1998,290,9219,10.6,21.6,1.318,4.1,9,0.641004231,3.537559504
291,1,1998,291,7795,9,13.8,1.038,1.7,0,0.648818374,4.720071426
292,1,1998,292,8931,3.5,12.9,0.883,2.4,0,0.656811025,3.717085906
293,1,1998,293,9350,3.8,12.6,0.873,1.4,0,0.638885506,3.211398386
294,1,1998,294,6544,0.9,14,0.858,1.2,0,0.646475927,5.483893665
295,1,1998,295,10884,1.6,18.4,1.003,0.9,0,0.654224435,1.245742516
296,1,1998,296,5672,7.1,18.7,1.238,2.3,7,0.66213199,5.90671855
297,1,1998,297,5726,10.6,16,1.243,3.7,10,0.670199317,5.795807579
298,1,1998,298,6025,10.6,15.6,1.118,4.6,1,0.678426888,5.512574925
299,1,1998,299,6442,7.4,13,0.993,2.9,1,0.686814892,5.114547493
300,1,1998,300,9048,5.6,14.3,0.948,2.8,0.2,0.695363207,2.445449313
301,1,1998,301,4517,8.5,19.6,1.153,4.9,0,0.704071371,6.480986575
302,1,1998,302,6014,14.7,15.5,1.043,4.6,9,0.712938557,5.214432223
303,1,1998,303,4278,3.4,11.1,0.918,3.1,8,0.692314894,6.594782785
304,1,1998,304,3946,7.2,12.4,1.078,2.5,2,0.700638963,6.765880975
305,1,1998,305,3814,8.9,12.4,1.093,3.2,7,0.709091585,6.816338821
306,1,1998,306,8766,3,12.6,0.968,2.6,0.8,0.717669902,1.766788852
307,1,1998,307,3823,9,12.5,1.068,3,4.6,0.726370585,6.723039063
308,1,1998,308,5510,7.1,12.8,0.923,2.5,1.8,0.735189799,5.214868165
309,1,1998,309,7394,4.2,9.2,0.778,2,0,0.744123172,3.112614303
310,1,1998,310,6344,-3,10.7,0.718,1,0,0.753165771,4.232296594
311,1,1998,311,7302,0.9,9.6,0.788,1.5,0,0.762312065,2.939708725
312,1,1998,312,9441,-2.7,13.7,0.738,1.5,0,0.771555899,0
313,1,1998,313,7101,2.2,14.5,0.978,1.7,8,0.780890464,2.813249061
314,1,1998,314,3404,9.8,12.7,1.123,2.6,5,0.790308266,6.739357484
315,1,1998,315,6772,1.3,7.3,0.733,2.4,0,0.765107895,3.109495871
316,1,1998,316,3279,0.1,4.8,0.748,1.9,3,0.773747984,6.82383528
317,1,1998,317,3829,2.1,8.3,0.788,1.6,0.4,0.782427851,6.270759466
318,1,1998,318,4265,3.5,9.8,0.808,4.4,1.8,0.791137932,5.770800344
319,1,1998,319,3290,3.6,8,0.783,2.9,0.8,0.799868001,6.683112981
320,1,1998,320,5597,2.6,6.8,0.693,3.1,0.6,0.808607167,4.091079628
321,1,1998,321,8100,-0.8,5,0.548,2.8,0,0.817343865,0.310631517
322,1,1998,322,3471,-5,0.6,0.443,1.8,0,0.826065862,6.458843324
323,1,1998,323,8075,-6.6,3.2,0.463,1.8,0,0.83476026,0.07314774
324,1,1998,324,5301,-1.6,1.8,0.463,3.7,0,0.843413505,4.218485161
325,1,1998,325,8447,-4.8,1.2,0.343,5.2,0,0.852011406,0
326,1,1998,326,7560,-8.4,0.2,0.333,1.4,0,0.860539152,0.613183727
327,1,1998,327,7412,-9,1.9,0.363,1,0,0.868981344,0.676529487
328,1,1998,328,6006,-8.2,2.4,0.408,0.8,0,0.87732203,2.841697097
329,1,1998,329,2799,-6.2,-0.3,0.528,1.3,4,0.845699807,6.832545172
330,1,1998,330,2769,-0.4,2.5,0.698,2.6,3.2,0.852996519,6.797497522
331,1,1998,331,2741,1.1,5.8,0.783,1.8,6,0.860148369,6.78097112
332,1,1998,332,1614,-1.1,0.9,0.658,1.7,4,0.867139891,7.826526268
